date,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2005-01-01,0.0519565743687415,0.0676960309526517,0.0816445010403796
2005-02-01,0.2155942167860498,0.1386919261415169,0.1033900389510167
2005-03-01,0.0482667409698347,-0.0535724539329907,-0.0553932038349982
2005-04-01,-0.0357040291727974,-0.0495912677259253,-0.0070874767768254
2005-05-01,0.1713696766565284,0.0457645734007519,0.0039994932555815
2005-06-01,0.0528071354727108,0.0496407139407528,0.1175059317332962
2005-07-01,0.0250606500103378,0.1202822852267209,0.1022430495698234
2005-08-01,0.1829564796309455,0.0375171056722907,0.1285395719477113
2005-09-01,0.1121530453335148,0.1037894960851666,0.1463204317009534
2005-10-01,-0.0441681914500247,-0.0771420701311811,-0.0518282117603821
2005-11-01,0.1030040561921943,0.1307168764751232,0.0725144971740929
2005-12-01,-0.00022327058420046344,0.0435113315426605,0.0102317414060033
2006-01-01,0.0764763509928405,-0.0106929488473692,0.2202501204467433
2006-02-01,0.0159569263204941,0.0351234586735156,0.0926018287237919
2006-03-01,0.0296227440279679,0.0431814610438738,0.0335686214080315
2006-04-01,-0.0101713811004291,0.2275351808531329,0.1047804365311524
2006-05-01,-0.0693822297032733,-0.0671721100494853,-0.1817921751033715
2006-06-01,-0.1109144688905292,0.047833860563812,0.0202470352924937
2006-07-01,0.0442081987437292,0.0365845018022064,0.0348364750530461
2006-08-01,0.1199079242809597,-0.0125162407329968,0.0069055345834927
2006-09-01,0.0237536626048298,-0.0357952412800965,-0.0781433056319196
2006-10-01,0.0038017010583892,0.0923249386030731,0.048374887370695
2006-11-01,0.0264141525484875,0.0332326722350462,0.0578292685050305
2006-12-01,0.0860831974444868,0.0260936472477588,0.0313807669863965
2007-01-01,-0.0086151431428387,0.0380284955435703,-0.0850726819524334
2007-02-01,0.0202934442527222,0.0577979452034798,-0.0406328713708665
2007-03-01,0.0734186396162304,0.0333416556711805,0.0217533505428626
2007-04-01,0.0283826976092349,-0.0398184738145888,-0.0428877945337884
2007-05-01,-0.0616928797259426,-0.0615055013005374,-0.097798190582087
2007-06-01,0.042395207825411,0.0787854444372238,0.0369681888573865
2007-07-01,0.016590709679539,0.0725552699486371,0.0480134212865026
2007-08-01,-0.0224826914683404,-0.0242974574836924,-0.032561221299046
2007-09-01,-0.0304360230995399,0.1017095971389157,0.050479095448801
2007-10-01,0.0334638762657544,0.1143339292869853,0.0553336326951061
2007-11-01,-0.0146355869459497,-0.0202360807246719,-0.0041351647534026
2007-12-01,0.0538421950580723,0.0244418902041143,0.0542928000579738
